,location,target,type,quantile,value
0,US,0 day ahead inc death,point,,858
1,US,1 day ahead inc death,point,,842
2,US,2 day ahead inc death,point,,825
3,US,3 day ahead inc death,point,,809
4,US,4 day ahead inc death,point,,792
5,US,5 day ahead inc death,point,,775
6,US,6 day ahead inc death,point,,757
7,US,7 day ahead inc death,point,,749
8,US,8 day ahead inc death,point,,737
9,US,9 day ahead inc death,point,,726
10,US,10 day ahead inc death,point,,715
11,US,11 day ahead inc death,point,,703
12,US,12 day ahead inc death,point,,691
13,US,13 day ahead inc death,point,,679
14,US,14 day ahead inc death,point,,667
15,US,15 day ahead inc death,point,,654
16,US,16 day ahead inc death,point,,642
17,US,17 day ahead inc death,point,,629
18,US,18 day ahead inc death,point,,616
19,US,19 day ahead inc death,point,,604
20,US,20 day ahead inc death,point,,591
21,US,21 day ahead inc death,point,,578
22,US,22 day ahead inc death,point,,566
23,US,23 day ahead inc death,point,,553
24,US,24 day ahead inc death,point,,547
25,US,25 day ahead inc death,point,,538
26,US,26 day ahead inc death,point,,530
27,US,27 day ahead inc death,point,,522
28,US,28 day ahead inc death,point,,513
29,US,29 day ahead inc death,point,,505
30,US,30 day ahead inc death,point,,496
31,US,31 day ahead inc death,point,,488
32,US,32 day ahead inc death,point,,479
33,US,33 day ahead inc death,point,,471
34,US,34 day ahead inc death,point,,462
35,US,35 day ahead inc death,point,,453
36,US,36 day ahead inc death,point,,445
37,US,37 day ahead inc death,point,,436
38,US,38 day ahead inc death,point,,428
39,US,39 day ahead inc death,point,,419
40,US,40 day ahead inc death,point,,410
41,US,41 day ahead inc death,point,,402
42,US,42 day ahead inc death,point,,393
43,US,43 day ahead inc death,point,,385
44,US,44 day ahead inc death,point,,377
45,US,45 day ahead inc death,point,,373
46,US,46 day ahead inc death,point,,367
47,US,47 day ahead inc death,point,,362
48,US,48 day ahead inc death,point,,357
49,US,49 day ahead inc death,point,,351
50,US,50 day ahead inc death,point,,346
51,US,51 day ahead inc death,point,,341
52,US,52 day ahead inc death,point,,336
53,US,53 day ahead inc death,point,,330
54,US,54 day ahead inc death,point,,325
55,US,55 day ahead inc death,point,,320
56,US,56 day ahead inc death,point,,314
57,US,57 day ahead inc death,point,,309
58,US,58 day ahead inc death,point,,304
